technology,avg_code_challenge_score
QA Manual,5.16
Salesforce,5.12
Client Success,5.09
Security,5.06
Development - FullStack,5.06
Development - Frontend,5.06
Development - CMS Frontend,5.03
Development - Backend,5.03
System Administration,5.02
Database Administration,5.02
Business Analytics / Project Management,5.02
Sales,5.0
Mulesoft,5.0
Game Development,5.0
Business Intelligence,4.99
Adobe Experience Manager,4.99
Design,4.98
DevOps,4.96
Security Compliance,4.95
Development - CMS Backend,4.93
QA Automation,4.9
Data Engineer,4.88
Technical Writing,4.85
Social Media Community Management,4.83
